block_id,low,high,midpoint,size,prime_count,prime_density,expected_density,elapsed_seconds
0,1000000,1500000,1224744.871391589,500000,35657,0.071314,0.07133561545545342,0.16534868799999458
1,1500000,2250000,1837117.3070873835,750000,51926,0.06923466666666667,0.06933029875109525,0.22198116699996717
2,2250000,3375000,2755675.9606310753,1125000,75786,0.06736533333333333,0.06743464236782533,0.2886985709999408
3,3375000,5062500,4133513.940946613,1687500,110674,0.0655845925925926,0.0656398905808266,0.44077178000020467
4,5062500,7593750,6200270.91141992,2531250,161621,0.06385027160493827,0.06393819562369792,0.6717929149999691
5,7593750,11390625,9300406.36712988,3796875,236371,0.06225409053497943,0.062322502969722145,0.9811840359998314
6,11390625,17085938,13950609.754818963,5695313,345964,0.06074538835705781,0.06078645352375791,1.3996966020001764
7,17085938,25628907,20925914.938414663,8542969,506232,0.0592571505292832,0.05932430014374544,2.397332477000191
8,25628907,38443360,31388872.20349785,12814453,741776,0.057885888691464236,0.057930835681304776,3.6588639779999994
9,38443360,57665040,47083307.99906056,19221680,1087202,0.056561237103104414,0.05660133085969341,6.3639859469999465
10,57665040,86497560,70624961.99859084,28832520,1593993,0.05528455369145673,0.05533148085834672,9.121948988999975
11,86497560,100000000,93004064.42731415,13502440,735755,0.05449052171311259,0.054501396348900895,3.3352786089999427
