offset,singular_series,observed_count,predicted_count,weighted_observed,weighted_predicted,mean_count_residual,std_count_residual,mean_psi_residual,std_psi_residual,aggregate_count_residual,aggregate_psi_residual,omega,big_omega,largest_prime_factor,reciprocal_factor_sum
2,1.3203236316937392,432142,432119.6418508148,130728101.77368854,130712007.84991302,0.0037813961009818416,0.008318479588596493,0.004244533056975311,0.008526157926743843,5.174064545965251e-05,0.00012312505974199084,1,1,2,0.5
4,1.3203236316937392,432114,432119.5191640834,130740444.46089095,130711976.16214587,0.00047779654914112494,0.005249002227638492,0.0007221975595279002,0.005305263101611831,-1.2772309138209259e-05,0.0002177941117633697,1,2,2,0.5
6,2.6406472633874785,863522,864238.792954704,261285199.14039582,261423888.9487574,-0.0016597471630592,0.0028251418371451806,-0.0013327869840900185,0.002838470022901049,-0.0008293922473132653,-0.0005305169658338382,2,2,3,0.8333333333333333
8,1.3203236316937392,431666,432119.27379062056,130599212.12416695,130711912.78661154,-8.174835579420838e-05,0.009178681366578043,0.00040676888073267495,0.009362798022670172,-0.001048955272567098,-0.0008622065123365941,1,3,2,0.5
10,1.7604315089249856,575877,576158.8681385189,174223147.0055488,174282508.1317925,-0.0003604753077862839,0.0031577169731661497,5.732920666249971e-06,0.003159258673934536,-0.0004892194741870082,-0.00034060289170723124,2,2,5,0.7
12,2.6406472633874785,863818,864238.0568343154,261341729.6932802,261423698.82215446,-2.228622093808349e-06,0.0021196696067869673,0.00050560101015945,0.002243591668512945,-0.00048604297275922637,-0.0003135489599588315,2,3,3,0.8333333333333333
14,1.5843883580324871,518217,518542.6868765116,156784732.58177567,156854181.26797208,-0.001344773160622427,0.009738127596232932,-0.0010327142022342683,0.009686543500962081,-0.000628081129585345,-0.00044275954670136564,2,2,7,0.6428571428571428
16,1.3203236316937392,432845,432118.78304369486,130964509.55132537,130711786.03554289,0.0002420747939671083,0.0039989555633057824,0.00057398670682995,0.004019448083754824,0.001680595671379903,0.0019334409195033153,1,4,2,0.5
18,2.6406472633874785,863992,864237.3207139268,261409825.0844222,261423508.69555146,1.4676329269575037e-05,0.0035861284088437653,0.0005341877579656667,0.0036902166841438415,-0.00028385804228425737,-5.234269556531057e-05,2,3,3,0.8333333333333333
20,1.7604315089249856,575295,576158.0502269759,174057102.31575805,174282296.88001144,-0.000632035140751803,0.0038304835903082038,-0.00023305594754439993,0.00392237875501016,-0.0014979400645984686,-0.0012921252949082973,2,3,5,0.7
22,1.4670262574374882,479913,480131.5722038896,145201880.820001,145235212.19137937,-0.0017495922105920999,0.005986994941512249,-0.00126016042816303,0.005763292880160067,-0.00045523397448399283,-0.0002294992438502952,2,2,11,0.5909090909090909
24,2.6406472633874785,864581,864236.5845935383,261571716.84290123,261423318.5689485,0.0006642981761646083,0.003252541406647206,0.0010003352767034917,0.0034739336631097865,0.0003985198180700422,0.0005676550766973154,2,4,3,0.8333333333333333
26,1.4403530527568065,471638,471401.6395745866,142674204.67269555,142594502.83277136,0.002458287744728217,0.004767314224436122,0.0027564803192367247,0.0049540800922244855,0.0005013992433855474,0.0005589404804591247,2,2,13,0.5769230769230769
28,1.5843883580324871,518528,518541.65630796767,156902773.1205845,156853915.09072793,0.00017681691826538332,0.004703578830733285,0.000711621324250225,0.004817185202756684,-2.6335990178538715e-05,0.0003114874743694873,2,3,7,0.6428571428571428
30,3.520863017849971,1151941,1152314.4646308664,348529242.39006406,348564171.2564607,-0.0008949854419576,0.002765380276690461,-0.0005793077031566734,0.002732350018693347,-0.00032409957726775573,-0.00010020785059683401,3,3,5,1.0333333333333332
32,1.3203236316937392,431326,432117.80154984345,130501116.09802668,130711532.53340562,-0.002604692287714342,0.0035328714261224016,-0.0021853206903958916,0.003576968970981264,-0.0018323742900745454,-0.001609777127547396,1,5,2,0.5
34,1.4083452071399885,460290,460925.5241206528,139244164.72290176,139425600.90201434,-0.001088380659577875,0.006475946862470889,-0.000830364658012,0.006589439049299013,-0.0013788000173461379,-0.0013013117959598253,2,2,17,0.5588235294117647
36,2.6406472633874785,864543,864235.1123527612,261499527.13607222,261422938.31574258,0.0026145598665428785,0.0038615944852886373,0.002770432313719484,0.00394137212884954,0.0003562544993116479,0.00029296901344255666,2,4,3,0.8333333333333333
38,1.3979897276757238,456828,457536.10604786384,138211360.82582092,138400345.55658084,-0.0009503948312146584,0.003811072983516846,-0.0005771724985460834,0.003742518003487555,-0.001547650641127274,-0.0013654932001788689,2,2,19,0.5526315789473684
40,1.7604315089249856,576119,576156.4144038904,174287009.8648678,174281874.3764493,0.0010323573484659918,0.004733358008221904,0.0012643627667318,0.004728146944652042,-6.493792823447642e-05,2.9466566370706104e-05,2,4,5,0.7
42,3.1687767160649742,1036885,1037081.2514788473,313714343.4789536,313707297.82696754,-0.0002971632384073303,0.004549383441298506,0.00013696085423986674,0.004622813234799678,-0.0001892344293829007,2.245931808042556e-05,3,3,7,0.976190476190476
