offset,component_1,component_2,component_3,component_4,component_5
2,-0.018737102782086557,-0.042992687591227784,-0.014699930335604995,-0.011245600528050112,-0.0036394585682830174
4,-0.019587143314444857,0.009483061348169593,0.010808919401081193,-0.017601780864173345,0.00017742550983886187
6,-0.006555366453368661,0.0008991184823400185,0.0014887536331174044,-0.0006450790194280313,-0.01722510061705357
8,-0.04011493601673411,0.003979672998846742,-0.024444950419553458,0.01233776425365092,0.013458527124613923
10,-0.004687866849946744,0.008466623594574731,0.008621533416867807,-0.01605090834092042,0.006154110677171698
12,0.0015316516602672694,-0.0005766716178358511,-0.006827435835425703,0.0019365694512550717,-0.017235305972999927
14,-0.012559648296032903,0.05597751820880897,-0.019966216261725334,0.009136737301818099,-5.955925150210634e-05
16,-0.0005862130138393416,-0.005578483926370681,0.0045655264100798705,-0.02110760147401986,0.015410121879816935
18,-0.008020227721957795,0.017422159582370065,0.0009417802607140908,-0.009465860238348863,-0.005113028556248601
20,-0.009387490479826843,-0.013368374735674095,-0.0172490808536546,0.006705610440676863,0.0044347532991756205
22,0.013830478512424405,0.01139775976827844,0.01566146793093255,0.028079753378214656,-0.02329767220660947
24,-0.006489893418547445,-0.015425111166114324,-0.005358557267733715,-0.007892626005228916,-0.011429430519250227
26,-0.00906441378985962,-0.0003126541651826132,-0.00290586232892369,-0.030270180084227077,-0.028058491838572973
28,-0.011242334884259778,-0.010286083951820532,-0.006766921539313705,0.023220563331773553,0.0065689881808902355
30,-0.004918536736619422,0.009522125663175892,-0.005214069467606085,0.012291419316297384,-0.012234731559905994
32,0.01069780095723648,0.008593298674198358,-0.004468148980910323,0.0005629435361221241,-0.005120859733816534
34,-0.02806666928522632,0.008766276280040617,0.02062441993672864,-0.0035044161267786386,0.00036143742376280603
36,0.002561117991723296,-0.0037531995819098953,-0.009538266085344423,-0.017893567806569675,-0.017185740809688904
38,-0.014268574812788133,-0.006359715451496812,-0.001779322921918389,0.00477025679559051,0.015230719205585866
40,-0.01687497950396521,-0.0027430756323051065,0.008307139691055527,0.0066633416655840095,-0.018387950490883355
42,-0.009142272169879884,-0.014242172498649446,0.023663107876419787,-0.013639644279504549,-0.00010570780783970417
44,-0.014480254780354196,0.00090508232288613,0.00711384541136336,0.014569724597530235,-0.015818195223407144
46,0.005142813263649387,0.005169189502567635,0.006121940690346538,-0.016877125505169618,0.004108807252690428
48,0.0010764152266988574,0.01101786394248417,-0.004176948283934541,-0.01867033028267244,-0.005619841757546879
50,0.0019907507277336796,-0.008008379147134457,0.016729298525739688,-0.012806677927972274,0.018863065399822153
52,-0.0059452112730152456,0.0017273087786208298,-0.037182225652575694,-0.003079420596732156,-0.017662151758605783
54,0.0016673658078964493,-0.00611685817234311,-0.007456759266542566,0.0014572016464456158,0.0015067970968997352
56,-0.003544634035087002,-0.017269784558110082,0.00698763669968816,0.002239934938070797,0.019769278092224007
58,0.006559289020078866,-0.0021060068867215813,-0.022259337749629966,0.025039037838263462,0.022524180871515337
60,-0.0030586608472368652,-2.8473525421366493e-06,-0.010386632137030893,-0.0023155923946340936,0.0034157169675303805
62,-0.00806506101959081,0.00016508456235209652,-0.030835743103258026,-0.02591417944178861,0.00010148185337977898
64,0.012317973029931676,-0.009180157116506492,0.0035305373047074618,-0.02808887296598,0.025027805498656405
66,0.0003803242407629987,0.0054172115311502695,-0.015977315960399797,0.0040933875084090176,0.02503380172958532
68,0.019954361423264264,0.004095252670857681,0.05103153079513303,-0.029745354176699535,-0.018247853240486788
70,-0.014427485032360953,-0.01942880125593139,-0.02228038760711231,-0.020714205066162207,-0.005117072946239312
72,0.012423584167566361,-0.005067545892126676,0.00019429884119488548,-0.02728261804637605,-0.000702932722090976
74,0.02182576267555278,0.01905134416775229,0.006372429761014842,-0.02884725626623803,0.019296485864332195
76,-0.024289760768319776,0.0023071492915738958,-0.030279844540786447,-0.005844288890903942,-0.0026630546106568708
78,-0.01021807533216015,-0.015356987810982109,-0.005983234602481909,-0.0035138607962917974,-0.012231912065225127
80,0.007455115932625554,0.0035713444020323386,-0.004780580680783741,-0.005970676368459927,-0.029568994506369347
82,-0.0056014144343114166,-0.013384674681645111,-0.03014821282059251,-0.012701089056832092,0.011817957895743133
84,-0.00935265999534577,0.009078302585751192,0.004197093287932783,0.004672422777156328,-0.003386333390765183
86,-0.004673636552425546,-0.015110527524760123,-0.025206152826295382,0.002737184898299783,0.007044468573117027
88,-0.01131555544477816,0.0005547923448948239,0.005834661939182616,-0.001439903900453243,0.005569599246837963
90,0.004648899092535269,0.014156328791998777,-0.002697385296787148,0.004456631104709864,-0.0028114161513642464
92,0.023853607720583078,0.003219035961525873,-0.0005733382659847357,0.014057423806813983,-0.013572952980262176
94,-0.024384752918947542,-0.006466771585243543,0.000720462973854914,-0.012522621266826297,0.002802162038051163
96,0.006155800786239098,-0.0057373650210046125,-0.0032252653253264834,0.010120056160023554,0.007913972313422947
98,0.005602097048971552,0.004827875664811392,-0.00818261312670593,0.014706967055757832,0.026379304565817375
100,0.005026644804309836,0.0006845086492086648,0.001566083385781863,-0.013398408136965467,0.0061254249132347005
102,-0.004378476372921068,-0.020071652090253047,-0.005640203754703093,0.004283910464978832,0.0054364712277477
104,0.00569082698130019,-0.014672045546476954,-0.010934219082764788,-0.03704829133848085,-0.009323139098301084
106,0.01522676491899061,0.04200559677678108,-0.025066590210299226,0.001742597165641351,-0.030798255888449436
108,-0.01661884854379969,-0.006479925299837282,-0.0003596618783210086,-0.01308095072023885,-0.005567263176974648
110,-0.0019949186522024475,0.004005293960221457,-0.0022017785841825853,-0.022640010546810422,0.00748674705062414
112,-0.005377185469063775,-0.004571400089370484,0.006259416839933151,-0.013386238545412071,0.011525823474110459
114,-0.002584084208796088,-0.019319063950882242,-0.003879888512483036,-0.009122927720467742,0.001605231671555313
116,-0.008155556202874462,0.019735884463184725,0.013903806818527993,0.007097945335860839,0.0027846673505943164
118,0.033317594210706326,0.016802104875871384,0.0017517043200906436,0.015056991670080814,0.007027057985473799
120,-3.667710328515449e-05,0.014090134314021587,0.008826983801844338,-0.006410945251285734,-4.855630900712356e-05
122,0.006937453677242898,0.00634758028956044,-0.0026356555161487242,-0.00671719616877574,-0.012957879429636849
124,-0.041037442373603294,0.009567019793585188,-0.012874323295972658,0.031046899465809012,0.01973365409088217
126,0.006224366405098865,-0.014785132735256227,-0.009812651366919828,0.0035449291834753834,0.017611734978453458
128,-0.010922737619072928,0.00852883715454483,0.0047815924701316015,0.003713119988495865,0.008419059241749417
130,-0.015910549174474303,-0.01601241309596096,0.017987580487655426,0.0035769714491901542,0.020500939060615415
132,0.0016356162954462249,-0.01218133226029269,0.023303527830196173,-0.0036211263133442135,-0.00958903110202674
134,-0.014698897861405108,0.00038531301532091834,-0.02680163755430162,-0.0029507632093647776,-0.0006173688558729574
136,-0.007021446958980216,0.00544973215364776,0.010871458135330369,-0.00364806042970817,0.01384273110488965
138,-0.006985336730220413,-0.020525449996149945,0.01084493759212742,-0.0013195205843569843,-0.026406517779901408
140,-0.0010495553869676732,0.00439343249246261,0.006229193081133501,0.016331000977042244,-0.009174956987059824
142,0.011369538205370806,0.004032595015737004,-0.0009044257618129909,-0.004288396512959831,-0.00013040552782613547
144,-0.017642119465927215,-0.002811108353566878,-0.007948839627996713,-0.0010790991468558413,0.00150963061006571
146,-0.03488619001464497,-0.020750931688458946,-0.0017677231049574775,0.005286911890759173,-0.023490006307512575
148,-0.0023447502357434144,-0.02626025360099892,-0.023341790733791706,-0.02386964421052999,-0.012833330068645597
150,-0.0007564134316347286,0.001593992062625422,-0.001982718361717704,-0.004279244849522727,0.003852649895959357
152,0.007705924302683222,0.02014407715826968,-0.007513906874982989,-0.003923215552512165,0.007299076887982346
154,-0.013795134273522804,0.0051842466113957205,0.008041537250233793,0.020516576043675627,-0.02558870306021234
156,-0.007337840811923486,-0.007321168441263564,-0.017447412874064122,-0.00203732377062077,0.005687286612513752
158,-0.0015702123533005454,-0.019457680365641272,-0.0018877926431025262,0.05373825686775079,-0.03926301808126066
160,-0.017627087343615337,0.016501502457430837,-0.023801905357741716,-0.0045371535496746265,-0.0032373182141699304
162,-0.007228360576223318,0.0019464502180724936,0.012383824765025534,-0.019694068473864436,-0.004166475740492643
164,-0.0219323631706782,-0.007109870473098308,-0.01208769468193534,-0.015816127747717196,0.00417047813317709
166,-0.04143938008295458,-0.010314498711611487,-0.025045855850429975,-0.01466169985459602,-0.011071701470948972
168,-0.0031125582538145172,0.010084492563719086,-0.0017905728337004817,-0.00725075056528845,0.003001825470979042
170,-0.01533868431066225,-0.00018994846116252728,0.012566412485199635,-0.004374471258320215,-0.0021981916108320234
172,0.0070069084541998766,-0.0020069296699709235,0.004480154845259084,0.0382429198284905,-0.0019252232068613967
174,0.012386737145648795,0.014861043454768956,0.002509535800510468,-0.005932105512662318,0.0024585176624141707
176,-0.017470252467540477,-0.011033016949418701,0.018994003882267574,-0.017268045932281623,0.02288667675274886
178,0.0029786894084899507,0.009853129778351353,-0.02297731185025992,0.01915176172972975,0.02151780532053037
180,-0.011713885215804142,0.004905994792751006,-0.0038834949349560847,0.007981266507051882,0.0039022213070338476
182,0.020574057557411686,-0.0020765033103338623,-0.0007805633854605281,0.0037236364575950476,0.032732226943230525
184,0.019084166520128728,-0.005963076517835646,0.0027544172065788464,0.03178028787368084,-0.011496942850695972
186,-0.0006646017762988744,0.014467561608184333,-0.007954121433941454,-0.008737996072760606,0.001716094204069704
188,0.0032276632057348063,-0.013970595995434196,-0.01582513951912692,0.010142989980430006,-0.0006793693604818646
190,-0.012210649918144656,0.027644194905413234,-0.0042951298582850905,-0.005123818099899289,0.0012870528825479417
192,-0.01312659097848136,0.0007782390638955261,-0.00818502106435437,0.011239660684646848,0.014035284819872243
194,-0.029916137172213014,0.004543622342875744,0.019851618311897152,-0.03265536484026634,-0.0016496116686658855
196,-0.02681285756990455,0.003638678719032246,0.0139179630914917,0.001833830371833924,-0.013424857819812754
198,-0.0024348597411733217,0.01405149320481212,0.014494376416102716,0.0012147878489379255,0.005514773532563809
200,0.003083179961840604,0.0217737317999988,-0.009281521887381775,0.010958998973988419,-0.007420462761047074
202,-0.0027066004517485864,-0.0012872510234660007,0.021939429085533754,-0.0023250992797754708,0.002228360437065167
204,-0.010600008435341961,0.012549806847573343,0.005537619583986129,-0.02987593042209693,0.0019744873451670907
206,0.006228495412920552,-0.01364509538418665,0.030152262489349855,0.006204666976093262,0.0018869448172144831
208,0.016493318878648452,0.0038165938357254195,-0.008620282535024506,-0.012766634004433045,-0.0015971088565697087
210,-0.013493230226388918,-0.006707293631416034,0.0053481450897656675,0.0040755353882986015,-0.0230045677020117
212,0.0015149667933916247,-0.020112215042781545,-0.012092709386486185,-0.020828441353901002,-0.02165033375166875
214,-0.006362956798539452,0.009054999646133124,0.00838674002661587,-0.04260296331945062,-0.013417132642846932
216,0.002544139423562353,-0.010888717623117836,0.005774574691523587,0.008992350720599262,-0.007897228775617987
218,0.01544060285217274,-0.00022464665369792365,-0.0018229396210797965,-0.004653976403890084,0.019666518550008966
220,-0.012277381891585774,0.011162241624052195,0.006025937205743168,0.012627885668221461,-0.00985304543337313
222,0.009177528581435656,-0.005501939234569731,0.008274131355936657,-0.014176549923955277,0.011791949820758674
224,0.009837147559537055,-0.006132650117478844,0.011201802146509844,-0.009370730943239954,-0.009873543923566848
226,-0.026682219563303997,-0.005306085370551208,-0.003863343783344676,-0.0195348149490696,0.0056223462454910896
228,-0.006831358162989714,-0.006633976340084655,-0.007528693858156711,-0.018841001412604613,-0.002696420345333491
230,-0.02076353145888527,-0.011586969086512328,-0.002234411062250542,0.014520895088917345,-0.0015985368801501457
232,-0.02172141918470068,0.00025494548251455855,0.0031267978114936034,0.004865190206723149,-0.009486697291330894
234,0.0016945667723887688,-0.0065305354731456594,-0.004682150195735984,-0.00036532724317093183,-0.002665687623391737
236,0.00964633337632376,-0.0073834520418382945,0.01806713089438197,0.009229162535986477,0.03175125710893883
238,0.010644311567426021,-0.006831870514459945,-0.019584499956075557,-0.00798373150306716,0.020452223634731644
240,-0.005552567440951916,0.003984386727549774,-0.004186812171588707,-0.014048086030007564,0.003261357152115834
242,0.02800910232159776,-0.018850757394951123,-0.031273631957443114,-0.0005206493616473811,0.014426586851953667
244,0.008846443987002201,-0.02674987594100524,0.004811668025951491,-0.02485646034768674,0.03829695665658883
246,-0.022597955239670352,0.012933445882514065,0.014245344163299308,-0.024736951508180408,-0.0067893416922119275
248,-0.0011789599273753068,0.002137111639557754,-0.0014207287292130387,0.004432639542983136,-0.0028527147282916185
250,-0.017646724548339085,-0.008815967865383153,-0.009901061151805652,0.004174170324309654,-0.016568411075652583
252,-0.019994103818922998,0.002624328365341498,0.005107455763360367,0.010030948065079462,-0.008126478401426857
254,-0.025007510216713484,0.007187820320886012,-0.006940800989729535,0.005598936961364678,-0.0009235333844583923
256,0.007841784886008946,0.01808709449616799,0.02689247856487766,0.013284251894015497,0.004581254826125632
258,-0.009254071031167795,0.013693375408210601,-0.002639440075220908,0.004097908641984334,-0.0018502953643846302
260,-0.01858302946437679,0.008262049257781422,-0.006401959103256007,-0.01719445525135127,0.008089260029228999
262,-0.019865423704643025,-0.00016043273098233446,0.03350939613449245,-0.01028077589224476,0.0176879788068309
264,-0.01536409085198581,-0.0022574571796525017,0.005697609642700394,0.002701721576702865,0.0015414910430915129
266,-0.015817667884387227,-0.0028050330240938404,0.004692527346684177,-0.0036959870905715177,-0.009063715105504556
268,0.004912604310855585,0.01198416306943712,-0.00397992930936076,0.014462020278476961,0.025627093133176824
270,0.002480640283289385,0.003896943726051929,-0.0011632399839978896,-0.011349843672184726,0.002071133237126747
272,0.0018880060548214458,0.001166406754509542,0.006059937526279633,-0.009441421782571506,-0.03807613388825654
274,-0.02020898481071671,-0.009334287715431976,0.037912041260039275,-0.006381171849995291,0.012221643925912259
276,-0.01221609883592484,-0.005054898690384322,0.00548638878217235,-0.01467314681728539,-0.0010568627192244322
278,0.0012331370028750863,-0.005706301232500036,-0.0007248463654351536,0.005286868699805527,-0.009081943462660225
280,-0.005095316116753131,0.014095585671755244,-0.006306159339490817,-0.02035086666949011,0.0003441016879795506
282,-0.005295532174728918,-0.003930094192219822,-0.0036865264628885342,0.0016252642065066358,0.006567141762899511
284,-0.027904301101877325,0.03135489143150964,-0.005905145473652353,-0.008311245573478702,0.0021807347553312426
